"","9_1","9_2","9_3","17_1","17_2","17_3","87_1","87_2","87_3","136_1","136_2","136_3","42_1","42_2","42_3","CK_1","CK_2","CK_3"
"Proteobacteria",15844,11963,12097,12207,12419,9161,16101,14808,11921,12420,16884,14862,9862,10119,9957,10210,14662,13859
"Actinobacteriota",7330,5063,5035,3173,3494,1523,8158,9908,7007,8575,10113,8456,4759,3758,4051,3399,6523,5719
"Cyanobacteria",3174,1239,3013,323,249,7992,9396,1454,1258,5217,2449,4813,2205,1467,1034,315,345,535
"Chloroflexi",1887,1815,1511,1757,1958,467,1813,1949,1940,1492,1753,1534,1801,2074,1504,1776,3470,2801
"Gemmatimonadota",1627,1786,1876,1488,2189,363,1280,1266,1442,1314,1222,1449,1046,1338,1026,1590,1511,1609
"Acidobacteriota",1091,1145,777,1384,1534,326,744,904,846,607,666,808,697,1038,727,1078,2221,1721
"Patescibacteria",264,204,291,187,155,23,562,583,335,406,591,557,119,224,179,113,310,140
"SAR324_clade(Marine_group_B)",110,216,16,187,138,37,138,139,100,104,80,81,105,197,178,110,244,153
"Crenarchaeota",117,75,38,271,179,101,100,108,64,49,60,61,40,11,66,364,378,161
"Planctomycetota",94,92,98,97,70,12,81,27,66,47,35,74,44,50,14,29,112,36
"Armatimonadota",45,35,58,122,135,23,96,31,48,21,21,47,34,108,38,56,90,51
"Firmicutes",39,29,7,29,5,585,34,18,27,10,12,18,12,22,17,14,30,32
"Halobacterota",37,12,11,15,13,394,12,26,39,19,23,28,15,15,11,7,23,8
"Verrucomicrobiota",33,16,28,12,0,229,33,12,40,18,12,18,7,21,9,6,30,0
"Bdellovibrionota",29,22,21,27,34,9,18,20,33,32,48,18,24,28,20,17,28,43
"Bacteroidota",29,24,46,16,22,10,25,10,4,29,25,25,10,10,8,15,20,19
"Elusimicrobiota",72,6,32,0,17,3,23,27,32,14,12,19,7,6,7,0,10,3
"Deferribacterota",11,20,16,22,17,5,0,11,8,4,14,16,10,22,21,13,36,20
"Myxococcota",29,38,14,12,18,8,0,15,14,5,13,1,2,2,31,3,19,25
"Thermoplasmatota",0,0,5,13,26,2,32,7,12,9,3,31,7,17,21,18,4,8
